after_task,sample_id,task_name,split,source_dataset,replay_mode,replay_selection_strategy,replay_selection_score
sciq,sciq_train_000065,sciq,train,allenai/sciq,random,random,0.9949195934678464
sciq,sciq_train_000032,sciq,train,allenai/sciq,random,random,0.9683338603512437
sciq,sciq_train_000067,sciq,train,allenai/sciq,random,random,0.9541024019506676
sciq,sciq_train_000069,sciq,train,allenai/sciq,random,random,0.9502787727272268
sciq,sciq_train_000096,sciq,train,allenai/sciq,random,random,0.9490832854934709
sciq,sciq_train_000083,sciq,train,allenai/sciq,random,random,0.9471898287617011
sciq,sciq_train_000061,sciq,train,allenai/sciq,random,random,0.9256299585665707
sciq,sciq_train_000025,sciq,train,allenai/sciq,random,random,0.9179020336530878
sciq,sciq_train_000010,sciq,train,allenai/sciq,random,random,0.9116220048506313
sciq,sciq_train_000039,sciq,train,allenai/sciq,random,random,0.9036588998417262
sciq,sciq_train_000070,sciq,train,allenai/sciq,random,random,0.8980450829653919
sciq,sciq_train_000050,sciq,train,allenai/sciq,random,random,0.8946659276992954
sciq,sciq_train_000013,sciq,train,allenai/sciq,random,random,0.8869799734244199
sciq,sciq_train_000057,sciq,train,allenai/sciq,random,random,0.8761257959862406
sciq,sciq_train_000017,sciq,train,allenai/sciq,random,random,0.8647928397902308
sciq,sciq_train_000073,sciq,train,allenai/sciq,random,random,0.8437856673203811
sciq,sciq_train_000052,sciq,train,allenai/sciq,random,random,0.8403674992791229
sciq,sciq_train_000034,sciq,train,allenai/sciq,random,random,0.8312143357820551
sciq,sciq_train_000094,sciq,train,allenai/sciq,random,random,0.825414121938681
sciq,sciq_train_000047,sciq,train,allenai/sciq,random,random,0.8129773322194848
sciq,sciq_train_000075,sciq,train,allenai/sciq,random,random,0.8024211206719435
sciq,sciq_train_000086,sciq,train,allenai/sciq,random,random,0.7916195157684214
sciq,sciq_train_000001,sciq,train,allenai/sciq,random,random,0.789079908095365
sciq,sciq_train_000099,sciq,train,allenai/sciq,random,random,0.7849338225418289
sciq,sciq_train_000085,sciq,train,allenai/sciq,random,random,0.7811848810432641
sciq,sciq_train_000027,sciq,train,allenai/sciq,random,random,0.7682309339140854
sciq,sciq_train_000058,sciq,train,allenai/sciq,random,random,0.7655670772581301
sciq,sciq_train_000091,sciq,train,allenai/sciq,random,random,0.7573818257078412
sciq,sciq_train_000076,sciq,train,allenai/sciq,random,random,0.7482187996631904
sciq,sciq_train_000021,sciq,train,allenai/sciq,random,random,0.7237514057030298
arc_challenge,arc_challenge_train_000034,arc_challenge,train,allenai/ai2_arc,random,random,0.9898098124084707
arc_challenge,arc_challenge_train_000007,arc_challenge,train,allenai/ai2_arc,random,random,0.982634852713419
arc_challenge,arc_challenge_train_000061,arc_challenge,train,allenai/ai2_arc,random,random,0.9598996081291796
arc_challenge,arc_challenge_train_000036,arc_challenge,train,allenai/ai2_arc,random,random,0.9440576822649897
arc_challenge,arc_challenge_train_000058,arc_challenge,train,allenai/ai2_arc,random,random,0.8915914301163662
arc_challenge,arc_challenge_train_000093,arc_challenge,train,allenai/ai2_arc,random,random,0.8826787805422566
arc_challenge,arc_challenge_train_000020,arc_challenge,train,allenai/ai2_arc,random,random,0.8800444182823531
arc_challenge,arc_challenge_train_000009,arc_challenge,train,allenai/ai2_arc,random,random,0.8643760797877158
arc_challenge,arc_challenge_train_000045,arc_challenge,train,allenai/ai2_arc,random,random,0.8603779530890876
arc_challenge,arc_challenge_train_000089,arc_challenge,train,allenai/ai2_arc,random,random,0.8600606405516099
arc_challenge,arc_challenge_train_000041,arc_challenge,train,allenai/ai2_arc,random,random,0.856214350525264
arc_challenge,arc_challenge_train_000004,arc_challenge,train,allenai/ai2_arc,random,random,0.8406649461660273
arc_challenge,arc_challenge_train_000051,arc_challenge,train,allenai/ai2_arc,random,random,0.838666049743869
arc_challenge,arc_challenge_train_000042,arc_challenge,train,allenai/ai2_arc,random,random,0.817992510341193
arc_challenge,arc_challenge_train_000067,arc_challenge,train,allenai/ai2_arc,random,random,0.7974867511348799
arc_challenge,arc_challenge_train_000031,arc_challenge,train,allenai/ai2_arc,random,random,0.7834844517019112
arc_challenge,arc_challenge_train_000018,arc_challenge,train,allenai/ai2_arc,random,random,0.7665241385097049
arc_challenge,arc_challenge_train_000008,arc_challenge,train,allenai/ai2_arc,random,random,0.7663102538645541
arc_challenge,arc_challenge_train_000028,arc_challenge,train,allenai/ai2_arc,random,random,0.7495970977532218
arc_challenge,arc_challenge_train_000092,arc_challenge,train,allenai/ai2_arc,random,random,0.7271771401738956
arc_challenge,arc_challenge_train_000081,arc_challenge,train,allenai/ai2_arc,random,random,0.702245348994016
arc_challenge,arc_challenge_train_000080,arc_challenge,train,allenai/ai2_arc,random,random,0.6986960220679074
arc_challenge,arc_challenge_train_000044,arc_challenge,train,allenai/ai2_arc,random,random,0.6880244152143387
arc_challenge,arc_challenge_train_000077,arc_challenge,train,allenai/ai2_arc,random,random,0.6846049125468829
arc_challenge,arc_challenge_train_000062,arc_challenge,train,allenai/ai2_arc,random,random,0.6837235568578137
